CVE_DOC,CVE_PEDI,CVE_CLPV,FECHA_DOC,FECHA_CANCELA,CAN_TOT,CANCELADO
NC00659,PP03286,6053,2022-04-13,2022-05-24,3510.0000000000005,Si
NC00660,F37815,5926,2022-04-18,,3667.29,No
NC00661,F37682,5926,2022-04-18,,301.72400000000005,No
NC00662,PP03186 ANT TD,6704,2022-04-18,,258.6206,No
NC00663,ANT PP03307,2730,2022-04-21,,1035.0,No
NC00664,F37625 PP03205,8246,2022-04-27,,150.5172,No
NC00665,F37907 PP03330,2370,2022-04-28,,3701.36,No
NC00666,F3790 PP03337,6573,2022-04-29,,2495.6896,No
NC00667,ANT,8642,2022-04-29,,1697.71,No
NC00668,PP03286,6053,2022-05-05,2022-05-05,3510.0000000000005,Si
NC00669,PP03286,6053,2022-05-05,,3510.0000000000005,No
NC00670,PP03551,8649,2022-05-05,,1465.5172000000002,No
NC00671,PP03347,8356,2022-05-05,,213.50000000000003,No
NC00672,PP03361,8655,2022-05-06,,734.5000000000001,No
NC00673,PP03359,8657,2022-05-06,,2316.38,No
NC00674,PP03356,2561,2022-05-09,,301.7241,No
NC00675,PV00994,8243,2022-05-11,,2262.931,No
NC00676,PP03367,6573,2022-05-11,,2586.2068000000004,No
NC00677,PP03336,2595,2022-05-12,,431.03440000000006,No
NC00678,PP03358,3808,2022-05-12,,4704.75,No
NC00679,PP03376,5968,2022-05-17,,4077.2500000000005,No
NC00680,PP03322,6948,2022-05-23,,301.7241,No
NC00681,PP02462,466,2022-05-24,,44.663700000000006,No
NC00682,,2542,2022-05-24,,25.862000000000002,No
NC00683,PP03423,5598,2022-05-31,,510.00000000000006,No
NC00684,PP03311,5926,2022-06-02,,573.2758,No
NC00685,PP03430,5615,2022-06-02,,801.2800000000001,No
NC00686,PV01008,5926,2022-06-02,,3077.5517000000004,No
NC00687,PP03400,8403,2022-06-06,,6250.000000000001,No
NC00688,PP03432,8483,2022-06-07,,6930.0,No
NC00689,PP03429,4376,2022-06-09,,1800.0000000000002,No
NC00690,PP03439,1130,2022-06-10,,517.2413,No
NC00691,PP03435,8677,2022-06-17,,1056.9,No
NC00692,PP03499,8699,2022-06-30,,1165.95,No
NC00693,PP03357,6534,2022-07-08,,1293.1034,No
NC00694,PV01032,8702,2022-07-11,,4137.92,No
NC00695,ANT,5926,2022-07-12,,431.03440000000006,No
NC00696,REM2471,8385,2022-08-04,,305.0,No
NC00697,PP03564,5926,2022-08-10,,431.03440000000006,No
NC00698,PP03197,8372,2022-08-10,,258.6206,No
NC00699,PP03565,5808,2022-08-10,,2235.9051000000004,No
NC00700,PP03585,8725,2022-08-11,,870.0000000000001,No
NC00701,PP03588,5926,2022-08-12,,802.0000000000001,No
NC00702,ANT,5926,2022-09-09,,19843.21,No
NC00703,COT3849,8641,2022-09-13,,17250.0,No
NC00704,REM2469,4663,2022-10-03,,4950.0,No
NC00705,PP03581,6003,2022-10-03,,11450.250000000002,No
NC00706,PP03642,5416,2022-10-03,,1559.0000000000002,No
NC00707,ANT,5926,2022-10-05,,1284.0500000000002,No
NC00708,ANT,5926,2022-10-05,,2356.0344,No
NC00709,PP03682,8765,2022-10-07,,1496.5900000000001,No
NC00710,ANT,8762,2022-10-10,,3572.7,No
NC00711,PP03753,8764,2022-10-10,,6764.76,No
NC00712, F39225 / PP03744,8766,2022-10-13,,699.5000000000001,No
NC00713,PP03772,6797,2022-10-21,,4424.0,No
NC00714,ANT,5926,2022-10-21,,3017.24,No
NC00715,PP03505 PV01031,8380,2022-10-21,,1145.6000000000001,No
NC00716,ANT,5926,2022-10-21,2022-10-21,1284.0500000000002,Si
NC00717,PP03694,3806,2022-10-21,,3644.6000000000004,No
NC00718,PV001081,6354,2022-10-21,,3500.0000000000005,No
NC00719,PP03729,8454,2022-10-21,,772.6,No
NC00720,REM2729,5923,2022-10-21,,877.72,No
